FEEDBACK CUSTOMERS
"orderid","rating"
"CA-2011-116407","2"
"CA-2011-116568","1"
"CA-2011-116673","2"
"CA-2011-116834","1"
"CA-2011-116904","3"
"CA-2011-116932","1"
"CA-2011-117016","4"
"CA-2011-117345","3"
"CA-2011-117765","3"
"CA-2011-118192","3"
"CA-2011-118976","4"
"CA-2011-119032","2"
"CA-2011-119466","1"
"CA-2011-119977","1"
"CA-2011-120950","3"
"CA-2011-121286","3"
"CA-2011-121727","3"
"CA-2011-121769","4"
"CA-2011-122217","1"
"CA-2011-122679","2"
"CA-2011-124023","4"
"CA-2011-124079","3"
"CA-2011-124394","2"
"CA-2011-124646","3"
"CA-2011-124723","3"
"CA-2011-124737","4"
"CA-2011-125612","1"
"CA-2011-125682","1"
"CA-2011-125731","1"
"CA-2011-125759","4"
"CA-2011-125829","2"
"CA-2011-126200","1"
"CA-2011-126760","4"
"CA-2011-127446","3"
"CA-2011-127558","2"
"CA-2011-128209","2"
"CA-2011-128846","3"
"CA-2011-128888","1"
"CA-2011-129168","3"
"CA-2011-129189","4"
"CA-2011-129938","1"
"CA-2011-130575","3"
"CA-2011-130869","1"
"CA-2011-131009","2"
"CA-2011-131051","3"
"CA-2011-131247","3"
"CA-2011-131905","3"
"CA-2011-132227","4"
"CA-2011-132801","3"
"CA-2011-133305","4"
"CA-2011-133753","4"
"CA-2011-135405","3"
"CA-2011-136336","1"
"CA-2011-136644","1"
"CA-2011-137274","4"
"CA-2011-137911","2"
"CA-2011-138023","1"
"CA-2011-138100","1"
"CA-2011-138198","4"
"CA-2011-138296","3"
"CA-2011-138317","4"
"CA-2011-139633","3"
"CA-2011-139892","2"
"CA-2011-140396","3"
"CA-2011-140487","3"
"CA-2011-141299","3"
"CA-2011-141313","4"
"CA-2011-141355","1"
"CA-2011-141726","2"
"CA-2011-142510","4"
"CA-2011-143371","4"
"CA-2011-144029","3"
"CA-2011-145387","4"
"CA-2011-145800","1"
"CA-2011-145926","4"
"CA-2011-146283","2"
"CA-2011-146500","1"
"CA-2011-146640","1"
"CA-2011-146731","4"
"CA-2011-146815","3"
"CA-2011-146864","2"
"CA-2011-146990","1"
"CA-2011-147900","3"
"CA-2011-147914","4"
"CA-2011-148285","1"
"CA-2011-148488","4"
"CA-2011-148614","3"
"CA-2011-149020","3"
"CA-2011-149594","4"
"CA-2011-150245","4"
"CA-2011-150581","1"
"CA-2011-150798","4"
"CA-2011-151001","1"
"CA-2011-151379","2"
"CA-2011-151953","4"
"CA-2011-152100","1"
"CA-2011-152849","3"
"CA-2011-153087","1"
"CA-2011-153850","1"
"CA-2011-153913","4"
"CA-2011-154186","1"
"CA-2011-154641","4"
"CA-2011-154837","3"
"CA-2011-154893","2"
"CA-2011-155796","2"
"CA-2011-155887","1"
"CA-2011-156160","3"
"CA-2011-156601","1"
"CA-2011-157882","1"
"CA-2011-158029","4"
"CA-2011-158064","1"
"CA-2011-158771","3"
"CA-2011-159310","1"
"CA-2011-159338","2"
"CA-2011-159478","1"
"CA-2011-159520","1"
"CA-2011-159709","4"
"CA-2011-159814","2"
"CA-2011-159835","1"
"CA-2011-160157","3"
"CA-2011-160738","4"
"CA-2011-161032","2"
"CA-2011-161508","3"
"CA-2011-161634","1"
"CA-2011-162278","1"
"CA-2011-163013","1"
"CA-2011-163412","2"
"CA-2011-163419","1"
"CA-2011-163468","3"
"CA-2011-163559","2"
"CA-2011-163650","2"
"CA-2011-164182","2"
"CA-2011-164742","3"
"CA-2011-164749","2"
"CA-2011-165309","2"
"CA-2011-165379","4"
"CA-2011-166716","4"
"CA-2011-166730","1"
"CA-2011-166744","1"
"CA-2011-166961","3"
"CA-2011-167486","1"
"CA-2011-167724","4"
"CA-2011-167927","2"
"CA-2011-168158","1"
"CA-2011-169019","3"
"CA-2011-169033","1"
"CA-2011-169446","3"
"CA-2011-169460","1"
"CA-2011-169642","1"
"CA-2011-169649","2"
"CA-2011-169803","3"
"CA-2011-370","3"
"CA-2011-5840","3"
"CA-2011-760","4"
"CA-2011-770","4"
"CA-2011-8190","3"
"CA-2012-100146","1"
"CA-2012-100216","1"
"CA-2012-100454","3"
"CA-2012-100657","1"
"CA-2012-100818","4"
"CA-2012-101889","3"
"CA-2012-102015","2"
"CA-2012-103072","1"
"CA-2012-103835","2"
"CA-2012-103870","4"
"CA-2012-104346","1"
"CA-2012-104941","3"
"CA-2012-104948","1"
"CA-2012-105102","2"
"CA-2012-105158","1"
"CA-2012-105347","1"
"CA-2012-105361","3"
"CA-2012-105508","3"
"CA-2012-105571","2"
"CA-2012-105599","2"
"CA-2012-105613","2"
"CA-2012-105725","4"
"CA-2012-106187","1"
"CA-2012-106257","2"
"CA-2012-106320","4"
"CA-2012-106565","2"
"CA-2012-106978","3"
"CA-2012-107083","3"
"CA-2012-107678","4"
"CA-2012-107937","2"
"CA-2012-108588","1"
"CA-2012-108672","3"
"CA-2012-109169","4"
"CA-2012-109197","4"
"CA-2012-109386","4"
"CA-2012-109603","1"
"CA-2012-110667","3"
"CA-2012-110814","2"
"CA-2012-110863","2"
"CA-2012-111038","1"
"CA-2012-111094","3"
"CA-2012-111164","4"
"CA-2012-111234","3"
"CA-2012-111339","1"
"CA-2012-111612","4"
"CA-2012-111703","2"
"CA-2012-112116","1"
"CA-2012-112144","2"
"CA-2012-112214","2"
"CA-2012-112375","2"
"CA-2012-112557","3"
"CA-2012-113145","2"
"CA-2012-113173","3"
"CA-2012-113740","2"
"CA-2012-113901","1"
"CA-2012-114048","1"
"CA-2012-114811","2"
"CA-2012-115392","3"
"CA-2012-115798","1"
"CA-2012-115924","2"
"CA-2012-115945","4"
"CA-2012-116092","2"
"CA-2012-116512","3"
"CA-2012-116687","3"
"CA-2012-116750","4"
"CA-2012-117086","1"
"CA-2012-117415","2"
"CA-2012-118843","1"
"CA-2012-119214","2"
"CA-2012-119291","1"
"CA-2012-119480","4"
"CA-2012-119634","2"
"CA-2012-119879","3"
"CA-2012-120362","3"
"CA-2012-120516","4"
"CA-2012-120677","3"
"CA-2012-120810","1"
"CA-2012-120915","2"
"CA-2012-121097","4"
"CA-2012-121650","4"
"CA-2012-121699","4"
"CA-2012-121783","4"
"CA-2012-121797","3"
"CA-2012-121965","1"
"CA-2012-122266","4"
"CA-2012-122756","2"
"CA-2012-123113","2"
"CA-2012-123141","3"
"CA-2012-124058","4"
"CA-2012-124450","4"
"CA-2012-124499","1"
"CA-2012-124800","4"
"CA-2012-124933","3"
"CA-2012-125234","1"
"CA-2012-125710","3"
"CA-2012-125934","3"
"CA-2012-125976","1"
"CA-2012-126970","3"
"CA-2012-127418","2"
"CA-2012-127509","1"
"CA-2012-127607","2"
"CA-2012-127824","3"
"CA-2012-128013","3"
"CA-2012-128125","3"
"CA-2012-128139","3"
"CA-2012-128860","3"
"CA-2012-129042","3"
"CA-2012-129546","4"
"CA-2012-130022","1"
"CA-2012-130218","3"
"CA-2012-130253","1"
"CA-2012-130456","1"
"CA-2012-130792","4"
"CA-2012-130855","3"
"CA-2012-130876","3"
"CA-2012-130890","4"
"CA-2012-131128","2"
"CA-2012-131338","2"
"CA-2012-131352","3"
"CA-2012-131422","3"
"CA-2012-131534","4"
"CA-2012-131597","4"
"CA-2012-131758","1"
"CA-2012-131779","2"
"CA-2012-131856","4"
"CA-2012-132136","4"
"CA-2012-132276","3"
"CA-2012-132465","1"
"CA-2012-132507","3"
"CA-2012-132626","1"
"CA-2012-133242","2"
"CA-2012-133396","4"
"CA-2012-133452","3"
"CA-2012-134075","4"
"CA-2012-134943","4"
"CA-2012-135545","4"
"CA-2012-135580","4"
"CA-2012-135727","4"
"CA-2012-136105","2"
"CA-2012-136147","2"
"CA-2012-136378","3"
"CA-2012-136469","3"
"CA-2012-136728","3"
"CA-2012-137225","2"
"CA-2012-137302","1"
"CA-2012-137512","3"
"CA-2012-137750","1"
"CA-2012-137897","1"
"CA-2012-137974","4"
"CA-2012-138219","4"
"CA-2012-138457","1"
"CA-2012-138534","4"
"CA-2012-138625","4"
"CA-2012-139094","1"
"CA-2012-139164","3"
"CA-2012-139780","3"
"CA-2012-139850","2"
"CA-2012-140144","1"
"CA-2012-141243","2"
"CA-2012-141250","2"
"CA-2012-141754","1"
"CA-2012-142027","1"
"CA-2012-142041","2"
"CA-2012-142475","1"
"CA-2012-142601","3"
"CA-2012-142734","1"
"CA-2012-143119","3"
"CA-2012-143364","4"
"CA-2012-144253","4"
"CA-2012-144288","1"
"CA-2012-144652","4"
"CA-2012-144806","4"
"CA-2012-144890","3"
"CA-2012-145352","4"
"CA-2012-145401","4"
"CA-2012-145835","2"
"CA-2012-146262","3"
"CA-2012-147788","1"
"CA-2012-148495","4"
"CA-2012-148705","1"
"CA-2012-148712","4"
"CA-2012-148859","1"
"CA-2012-148964","2"
"CA-2012-149083","3"
"CA-2012-149342","1"
"CA-2012-149517","4"
"CA-2012-149734","4"
"CA-2012-149909","1"
"CA-2012-150511","4"
"CA-2012-150791","1"
"CA-2012-150875","2"
"CA-2012-151624","3"
"CA-2012-151785","2"
"CA-2012-151841","2"
"CA-2012-152681","2"
"CA-2012-152891","2"
"CA-2012-153038","1"
"CA-2012-153325","4"
"CA-2012-153381","4"
"CA-2012-153416","1"
"CA-2012-153549","1"
"CA-2012-154284","4"
"CA-2012-154291","3"
"CA-2012-154620","3"
"CA-2012-154900","2"
"CA-2012-155054","2"
"CA-2012-155586","1"
"CA-2012-155635","4"
"CA-2012-156013","4"
"CA-2012-156118","1"
"CA-2012-156335","2"
"CA-2012-156377","4"
"CA-2012-156524","1"
"CA-2012-156755","1"
"CA-2012-157028","2"
"CA-2012-157035","1"
"CA-2012-157133","4"
"CA-2012-157322","1"
"CA-2012-157812","3"
"CA-2012-158421","1"
"CA-2012-158456","4"
"CA-2012-158918","3"
"CA-2012-159590","1"
"CA-2012-159786","1"
"CA-2012-160213","2"
"CA-2012-160227","3"
"CA-2012-160696","1"
"CA-2012-161998","1"
"CA-2012-162047","4"
"CA-2012-162166","2"
"CA-2012-162201","2"
"CA-2012-162369","4"
"CA-2012-162761","1"
"CA-2012-162887","3"
"CA-2012-162950","2"
"CA-2012-163090","4"
"CA-2012-163104","1"
"CA-2012-163181","3"
"CA-2012-163587","4"
"CA-2012-163762","4"
"CA-2012-164301","2"
"CA-2012-164441","4"
"CA-2012-165050","1"
"CA-2012-165085","3"
"CA-2012-165624","1"
"CA-2012-166135","3"
"CA-2012-166464","2"
"CA-2012-166800","2"
"CA-2012-167745","1"
"CA-2012-168004","1"
"CA-2012-168459","1"
"CA-2012-168480","4"
"CA-2012-168529","1"
"CA-2012-169397","2"
"CA-2012-2910","4"
"CA-2012-2920","1"
"CA-2012-3180","2"
"CA-2012-4750","3"
"CA-2012-490","2"
"CA-2012-5610","1"
"CA-2012-6570","4"
"CA-2012-7440","2"
"CA-2012-8480","4"
"CA-2012-9860","2"
"CA-2013-100041","3"
"CA-2013-100083","4"
"CA-2013-100307","3"
"CA-2013-100468","3"
"CA-2013-100944","3"
"CA-2013-100965","3"
"CA-2013-101168","3"
"CA-2013-101189","5"
"CA-2013-101336","3"
"CA-2013-101343","5"
"CA-2013-101469","4"
"CA-2013-101651","5"
"CA-2013-101672","3"
"CA-2013-101742","5"
"CA-2013-102092","4"
"CA-2013-102127","4"
"CA-2013-102134","4"
"CA-2013-102456","4"
"CA-2013-102498","3"
"CA-2013-102596","3"
"CA-2013-102981","3"
"CA-2013-103107","4"
"CA-2013-103128","5"
"CA-2013-103163","5"
"CA-2013-104157","4"
"CA-2013-104311","3"
"CA-2013-105018","5"
"CA-2013-105354","4"
"CA-2013-105732","5"
"CA-2013-105753","5"
"CA-2013-105816","5"
"CA-2013-105900","4"
"CA-2013-106075","3"
"CA-2013-106278","4"
"CA-2013-106341","3"
"CA-2013-106915","3"
"CA-2013-107104","3"
"CA-2013-107216","4"
"CA-2013-107328","4"
"CA-2013-108434","5"
"CA-2013-108630","5"
"CA-2013-108868","5"
"CA-2013-109057","4"
"CA-2013-109365","5"
"CA-2013-109806","4"
"CA-2013-109820","3"
"CA-2013-109827","5"
"CA-2013-109953","4"
"CA-2013-110009","3"
"CA-2013-110254","4"
"CA-2013-110772","5"
"CA-2013-110898","5"
"CA-2013-111010","3"
"CA-2013-111283","3"
"CA-2013-111605","3"
"CA-2013-112025","3"
"CA-2013-112256","4"
"CA-2013-112669","3"
"CA-2013-112676","5"
"CA-2013-112942","3"
"CA-2013-113061","4"
"CA-2013-113117","5"
"CA-2013-113292","3"
"CA-2013-113341","4"
"CA-2013-113607","4"
"CA-2013-113621","4"
"CA-2013-113747","4"
"CA-2013-113831","3"
"CA-2013-114482","5"
"CA-2013-114601","5"
"CA-2013-114727","4"
"CA-2013-114860","3"
"CA-2013-114944","4"
"CA-2013-114951","3"
"CA-2013-115378","5"
"CA-2013-116337","3"
"CA-2013-116603","4"
"CA-2013-116799","4"
"CA-2013-117121","4"
"CA-2013-117226","5"
"CA-2013-117282","3"
"CA-2013-117583","3"
"CA-2013-117604","4"
"CA-2013-117660","4"
"CA-2013-117681","3"
"CA-2013-117919","5"
"CA-2013-118052","3"
"CA-2013-118073","4"
"CA-2013-118689","3"
"CA-2013-118759","4"
"CA-2013-118899","4"
"CA-2013-118934","5"
"CA-2013-119074","4"
"CA-2013-119683","4"
"CA-2013-119935","4"
"CA-2013-120250","5"
"CA-2013-120355","4"
"CA-2013-120530","4"
"CA-2013-120824","3"
"CA-2013-121370","3"
"CA-2013-122392","4"
"CA-2013-122448","4"
"CA-2013-123050","3"
"CA-2013-123120","4"
"CA-2013-123274","4"
"CA-2013-123337","3"
"CA-2013-123414","4"
"CA-2013-123722","5"
"CA-2013-123932","5"
"CA-2013-123946","3"
"CA-2013-124016","4"
"CA-2013-124051","3"
"CA-2013-124149","3"
"CA-2013-124506","3"
"CA-2013-124590","4"
"CA-2013-124667","4"
"CA-2013-125087","3"
"CA-2013-125164","5"
"CA-2013-125661","5"
"CA-2013-125724","3"
"CA-2013-126158","3"
"CA-2013-126613","5"
"CA-2013-126732","4"
"CA-2013-127138","4"
"CA-2013-127194","4"
"CA-2013-127670","5"
"CA-2013-127761","4"
"CA-2013-128111","5"
"CA-2013-128307","4"
"CA-2013-128517","3"
"CA-2013-128972","3"
"CA-2013-129126","3"
"CA-2013-129238","5"
"CA-2013-129728","5"
"CA-2013-129861","3"
"CA-2013-130001","5"
"CA-2013-130225","5"
"CA-2013-130288","5"
"CA-2013-130407","4"
"CA-2013-130638","3"
"CA-2013-130778","4"
"CA-2013-131289","3"
"CA-2013-132143","3"
"CA-2013-132661","3"
"CA-2013-132829","5"
"CA-2013-133319","5"
"CA-2013-133340","5"
"CA-2013-133697","4"
"CA-2013-133711","5"
"CA-2013-133795","4"
"CA-2013-134348","3"
"CA-2013-134516","4"
"CA-2013-135636","3"
"CA-2013-1360","4"
"CA-2013-136322","3"
"CA-2013-136329","3"
"CA-2013-136371","5"
"CA-2013-136483","5"
"CA-2013-136994","5"
"CA-2013-137127","5"
"CA-2013-137176","3"
"CA-2013-137204","5"
"CA-2013-137239","3"
"CA-2013-137330","3"
"CA-2013-137729","3"
"CA-2013-137743","5"
"CA-2013-137848","3"
"CA-2013-138079","5"
"CA-2013-138597","3"
"CA-2013-138695","5"
"CA-2013-139010","3"
"CA-2013-139269","4"
"CA-2013-139549","3"
"CA-2013-139556","5"
"CA-2013-139689","4"
"CA-2013-139885","3"
"CA-2013-139941","3"
"CA-2013-140130","4"
"CA-2013-140501","5"
"CA-2013-140634","5"
"CA-2013-140928","5"
"CA-2013-141180","3"
"CA-2013-141523","5"
"CA-2013-141551","4"
"CA-2013-142370","5"
"CA-2013-142398","5"
"CA-2013-142545","4"
"CA-2013-142594","4"
"CA-2013-144218","5"
"CA-2013-144344","3"
"CA-2013-144540","4"
"CA-2013-144792","4"
"CA-2013-144939","5"
"CA-2013-145177","5"
"CA-2013-145303","5"
"CA-2013-145492","3"
"CA-2013-145548","5"
"CA-2013-145583","3"
"CA-2013-145709","4"
"CA-2013-145730","5"
"CA-2013-145905","5"
"CA-2013-145982","4"
"CA-2013-146010","3"
"CA-2013-146143","4"
"CA-2013-146150","5"
"CA-2013-146157","5"
"CA-2013-146325","5"
"CA-2013-146374","4"
"CA-2013-146913","4"
"CA-2013-147431","3"
"CA-2013-147473","5"
"CA-2013-147578","3"
"CA-2013-147585","5"
"CA-2013-147683","4"
"CA-2013-148593","4"
"CA-2013-148684","4"
"CA-2013-148852","4"
"CA-2013-149111","4"
"CA-2013-149237","4"
"CA-2013-149279","5"
"CA-2013-149314","3"
"CA-2013-149461","4"
"CA-2013-149797","5"
"CA-2013-150658","5"
"CA-2013-151148","5"
"CA-2013-151512","5"
"CA-2013-152247","3"
"CA-2013-152289","4"
"CA-2013-152331","3"
"CA-2013-152408","4"
"CA-2013-152471","5"
"CA-2013-152555","5"
"CA-2013-152632","3"
"CA-2013-152646","3"
"CA-2013-152730","3"
"CA-2013-152814","5"
"CA-2013-153178","4"
"CA-2013-153577","4"
"CA-2013-153836","3"
"CA-2013-154067","3"
"CA-2013-154662","5"
"CA-2013-154711","4"
"CA-2013-154788","5"
"CA-2013-155166","3"
"CA-2013-155187","5"
"CA-2013-155530","5"
"CA-2013-155747","3"
"CA-2013-156251","3"
"CA-2013-156300","4"
"CA-2013-156573","4"
"CA-2013-156685","3"
"CA-2013-156748","5"
"CA-2013-157000","3"
"CA-2013-157245","4"
"CA-2013-157266","3"
"CA-2013-157588","5"
"CA-2013-157707","5"
"CA-2013-157749","3"
"CA-2013-158001","5"
"CA-2013-158043","4"
"CA-2013-158155","5"
"CA-2013-158547","3"
"CA-2013-158568","5"
"CA-2013-158617","5"
"CA-2013-158806","4"
"CA-2013-158925","5"
"CA-2013-159373","3"
"CA-2013-159695","3"
"CA-2013-159730","3"
"CA-2013-159737","3"
"CA-2013-159912","5"
"CA-2013-159940","3"
"CA-2013-160108","4"
"CA-2013-160745","5"
"CA-2013-161676","4"
"CA-2013-161746","5"
"CA-2013-161781","3"
"CA-2013-161816","4"
"CA-2013-162313","5"
"CA-2013-162348","3"
"CA-2013-162383","3"
"CA-2013-162390","5"
"CA-2013-162747","3"
"CA-2013-162901","5"
"CA-2013-163167","5"
"CA-2013-163202","5"
"CA-2013-163328","5"
"CA-2013-163398","5"
"CA-2013-163594","3"
"CA-2013-163755","3"
"CA-2013-163776","4"
"CA-2013-163972","3"
"CA-2013-164035","4"
"CA-2013-164574","5"
"CA-2013-164637","5"
"CA-2013-164735","3"
"CA-2013-164784","3"
"CA-2013-164889","5"
"CA-2013-165169","3"
"CA-2013-165470","4"
"CA-2013-165561","5"
"CA-2013-165827","5"
"CA-2013-165995","5"
"CA-2013-166240","5"
"CA-2013-166485","5"
"CA-2013-166625","4"
"CA-2013-167507","4"
"CA-2013-167556","3"
"CA-2013-167605","3"
"CA-2013-168046","5"
"CA-2013-168361","4"
"CA-2013-168844","3"
"CA-2013-168921","5"
"CA-2013-168956","3"
"CA-2013-169103","4"
"CA-2013-169215","3"
"CA-2013-169334","4"
"CA-2013-169838","3"
"CA-2013-169922","4"
"CA-2013-169957","3"
"CA-2013-169971","3"
"CA-2013-3530","4"
"CA-2013-3830","3"
"CA-2013-4030","4"
"CA-2013-4660","3"
"CA-2013-4830","5"
"CA-2013-5590","3"
"CA-2013-6080","4"
"CA-2013-6250","5"
"CA-2013-7580","4"
"CA-2013-870","3"
"CA-2013-9220","5"
"CA-2014-100013","4"
"CA-2014-100055","5"
"CA-2014-100111","5"
"CA-2014-100223","4"
"CA-2014-100412","4"
"CA-2014-100601","4"
"CA-2014-100615","5"
"CA-2014-100636","5"
"CA-2014-100650","4"
"CA-2014-101049","4"
"CA-2014-101077","4"
"CA-2014-101182","4"
"CA-2014-101322","5"
"CA-2014-101434","4"
"CA-2014-101581","5"
"CA-2014-101637","5"
"CA-2014-101700","5"
"CA-2014-101945","5"
"CA-2014-101959","5"
"CA-2014-102099","4"
"CA-2014-102197","5"
"CA-2014-102204","4"
"CA-2014-102218","5"
"CA-2014-102407","5"
"CA-2014-102659","4"
"CA-2014-102729","4"
"CA-2014-102750","4"
"CA-2014-102967","5"
"CA-2014-103212","4"
"CA-2014-103352","4"
"CA-2014-103443","4"
"CA-2014-103877","4"
"CA-2014-104003","4"
"CA-2014-104318","5"
"CA-2014-104577","5"
"CA-2014-104801","4"
"CA-2014-104864","5"
"CA-2014-104885","4"
"CA-2014-105144","4"
"CA-2014-105214","4"
"CA-2014-105235","4"
"CA-2014-105326","4"
"CA-2014-105620","5"
"CA-2014-105886","5"
"CA-2014-106047","5"
"CA-2014-106068","5"
"CA-2014-106355","5"
"CA-2014-106691","4"
"CA-2014-106782","5"
"CA-2014-106964","5"
"CA-2014-107209","4"
"CA-2014-107244","4"
"CA-2014-107265","5"
"CA-2014-107342","4"
"CA-2014-107461","4"
"CA-2014-107503","5"
"CA-2014-107713","4"
"CA-2014-107727","5"
"CA-2014-107797","5"
"CA-2014-107958","4"
"CA-2014-108035","5"
"CA-2014-108091","4"
"CA-2014-108287","5"
"CA-2014-108322","4"
"CA-2014-108441","4"
"CA-2014-108553","4"
"CA-2014-108560","5"
"CA-2014-108791","4"
"CA-2014-109099","4"
"CA-2014-109211","5"
"CA-2014-109715","5"
"CA-2014-109757","4"
"CA-2014-109946","5"
"CA-2014-109960","5"
"CA-2014-110478","4"
"CA-2014-110842","4"
"CA-2014-110926","4"
"CA-2014-111717","4"
"CA-2014-112473","4"
"CA-2014-112487","4"
"CA-2014-112515","5"
"CA-2014-112529","4"
"CA-2014-112774","4"
"CA-2014-112956","4"
"CA-2014-113278","5"
"CA-2014-113530","5"
"CA-2014-113873","5"
"CA-2014-114440","4"
"CA-2014-114524","4"
"CA-2014-115105","5"
"CA-2014-115119","5"
"CA-2014-115154","5"
"CA-2014-115322","4"
"CA-2014-115602","5"
"CA-2014-115931","4"
"CA-2014-116113","4"
"CA-2014-116645","4"
"CA-2014-116855","5"
"CA-2014-116946","4"
"CA-2014-117114","4"
"CA-2014-117240","5"
"CA-2014-117422","4"
"CA-2014-117457","4"
"CA-2014-117513","4"
"CA-2014-117632","5"
"CA-2014-117653","5"
"CA-2014-117667","5"
"CA-2014-117863","5"
"CA-2014-1180","4"
"CA-2014-118003","5"
"CA-2014-118367","5"
"CA-2014-118402","5"
"CA-2014-118542","4"
"CA-2014-118577","5"
"CA-2014-118885","5"
"CA-2014-118892","4"
"CA-2014-119452","5"
"CA-2014-119494","4"
"CA-2014-119564","5"
"CA-2014-119655","4"
"CA-2014-119746","5"
"CA-2014-119809","4"
"CA-2014-120222","4"
"CA-2014-120404","4"
"CA-2014-120614","5"
"CA-2014-120705","5"
"CA-2014-121083","4"
"CA-2014-121160","4"
"CA-2014-121398","5"
"CA-2014-121412","5"
"CA-2014-121489","5"
"CA-2014-121804","4"
"CA-2014-121853","4"
"CA-2014-122028","4"
"CA-2014-122035","5"
"CA-2014-122105","4"
"CA-2014-122112","5"
"CA-2014-122308","4"
"CA-2014-122770","4"
"CA-2014-122945","5"
"CA-2014-122987","5"
"CA-2014-123022","5"
"CA-2014-123043","5"
"CA-2014-123085","4"
"CA-2014-123491","4"
"CA-2014-124086","4"
"CA-2014-124261","4"
"CA-2014-124296","4"
"CA-2014-125269","4"
"CA-2014-125367","4"
"CA-2014-125388","4"
"CA-2014-125472","4"
"CA-2014-125745","4"
"CA-2014-126046","5"
"CA-2014-126067","4"
"CA-2014-126221","5"
"CA-2014-126242","4"
"CA-2014-126382","5"
"CA-2014-126438","5"
"CA-2014-126634","5"
"CA-2014-126928","4"
"CA-2014-126956","5"
"CA-2014-127026","4"
"CA-2014-127096","5"
"CA-2014-127117","5"
"CA-2014-127306","4"
"CA-2014-127705","5"
"CA-2014-127726","5"
"CA-2014-127803","5"
"CA-2014-127922","5"
"CA-2014-128076","5"
"CA-2014-128265","4"
"CA-2014-128426","4"
"CA-2014-128734","5"
"CA-2014-128783","5"
"CA-2014-128853","5"
"CA-2014-128965","5"
"CA-2014-129021","4"
"CA-2014-129805","5"
